DendroID,date_time,Radius,newRadius,jumpStart
TV4a,2022-09-28T08:45:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T09:00:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T09:15:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T09:30:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T09:45:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T10:00:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T10:15:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T10:30:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T10:45:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T11:00:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T11:15:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T11:30:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T11:45:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T12:00:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T12:15:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T12:30:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T12:45:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T13:00:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T13:15:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T13:30:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T13:45:00Z,3861.969011674103,3861.969011674103,NA
TV4a,2022-09-28T14:00:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T14:15:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T14:30:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T14:45:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T15:00:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T15:15:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T15:30:00Z,3861.697329014119,3861.697329014119,NA
TV4a,2022-09-28T15:45:00Z,3861.425646354135,3861.425646354135,NA
TV4a,2022-09-28T16:00:00Z,3858.980502414278,3858.980502414278,NA
TV4a,2022-09-28T16:15:00Z,3855.720310494469,3855.720310494469,NA
TV4a,2022-09-28T16:30:00Z,3846.754782714994,3846.754782714994,NA
TV4a,2022-09-28T16:45:00Z,3842.6795428152313,3842.6795428152313,NA
TV4a,2022-09-28T17:00:00Z,3839.1476682354382,3839.1476682354382,NA
TV4a,2022-09-28T17:15:00Z,3832.083919075851,3832.083919075851,NA
TV4a,2022-09-28T17:30:00Z,3818.4997860766457,3832.083919075851,y
TV4a,2022-09-28T17:45:00Z,3810.349306277122,3823.9334392763276,NA
TV4a,2022-09-28T18:00:00Z,3801.655461157631,3815.2395941568366,NA
TV4a,2022-09-28T18:15:00Z,3794.863394658029,3808.4475276572343,NA
TV4a,2022-09-28T18:30:00Z,3788.3430108184098,3801.927143817615,NA
TV4a,2022-09-28T18:45:00Z,3782.909357618728,3796.4934906179333,NA
TV4a,2022-09-28T19:00:00Z,3777.4757044190455,3791.059837418251,NA
TV4a,2022-09-28T19:15:00Z,3771.4986858993952,3785.0828188986006,NA
TV4a,2022-09-28T19:30:00Z,3769.8685899394904,3783.452722938696,NA
TV4a,2022-09-28T19:45:00Z,3767.4234459996337,3781.007578998839,NA
TV4a,2022-09-28T20:00:00Z,3766.8800806796658,3780.464213678871,NA
TV4a,2022-09-28T20:15:00Z,3766.6083980196818,3780.192531018887,NA
TV4a,2022-09-28T20:30:00Z,3766.6083980196818,3780.192531018887,NA
TV4a,2022-09-28T20:45:00Z,3766.6083980196818,3780.192531018887,NA
TV4a,2022-09-28T21:00:00Z,3766.6083980196818,3780.192531018887,NA
TV4a,2022-09-28T21:15:00Z,3766.6083980196818,3780.192531018887,NA
TV4a,2022-09-28T21:30:00Z,3766.8800806796658,3780.464213678871,NA
TV4a,2022-09-28T21:45:00Z,3766.8800806796658,3780.464213678871,NA
TV4a,2022-09-28T22:00:00Z,3767.1517633396497,3780.735896338855,NA
TV4a,2022-09-28T22:15:00Z,3767.4234459996337,3781.007578998839,NA
TV4a,2022-09-28T22:30:00Z,3767.6951286596177,3781.279261658823,NA
TV4a,2022-09-28T22:45:00Z,3768.51017663957,3782.0943096387755,NA
TV4a,2022-09-28T23:00:00Z,3769.5969072795065,3783.181040278712,NA
TV4a,2022-09-28T23:15:00Z,3770.955320579427,3784.539453578632,NA
TV4a,2022-09-28T23:30:00Z,3772.313733879347,3785.8978668785526,NA
TV4a,2022-09-28T23:45:00Z,3773.672147179268,3787.2562801784734,NA
TV4a,2022-09-29T00:00:00Z,3775.5739257991568,3789.158058798362,NA
TV4a,2022-09-29T00:15:00Z,3776.660656439093,3790.2447894382985,NA
TV4a,2022-09-29T00:30:00Z,3777.7473870790295,3791.331520078235,NA
TV4a,2022-09-29T00:45:00Z,3778.834117718966,3792.4182507181713,NA
TV4a,2022-09-29T01:00:00Z,3779.9208483589023,3793.5049813581077,NA
TV4a,2022-09-29T01:15:00Z,3782.094309638775,3795.6784426379804,NA
TV4a,2022-09-29T01:30:00Z,3783.452722938696,3797.0368559379012,NA
TV4a,2022-09-29T01:45:00Z,3784.539453578632,3798.1235865778376,NA
TV4a,2022-09-29T02:00:00Z,3785.0828188986006,3798.666951897806,NA
