DendroID,date_time,Radius,newRadius,jumpStart
ET2a,2022-07-30T08:45:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T09:00:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T09:15:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T09:30:00Z,1951.496546665852,1951.496546665852,NA
ET2a,2022-07-30T09:45:00Z,1951.496546665852,1951.496546665852,NA
ET2a,2022-07-30T10:00:00Z,1951.496546665852,1951.496546665852,NA
ET2a,2022-07-30T10:15:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T10:30:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T10:45:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T11:00:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T11:15:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T11:30:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T11:45:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T12:00:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T12:15:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T12:30:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T12:45:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T13:00:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T13:15:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T13:30:00Z,1951.2248640058676,1951.2248640058676,NA
ET2a,2022-07-30T13:45:00Z,1950.9531813458836,1950.9531813458836,NA
ET2a,2022-07-30T14:00:00Z,1950.6814986858992,1950.6814986858992,NA
ET2a,2022-07-30T14:15:00Z,1949.3230853859789,1949.3230853859789,NA
ET2a,2022-07-30T14:30:00Z,1944.161114846281,1944.161114846281,NA
ET2a,2022-07-30T14:45:00Z,1940.0858749465192,1940.0858749465192,NA
ET2a,2022-07-30T15:00:00Z,1938.4557789866144,1938.4557789866144,NA
ET2a,2022-07-30T15:15:00Z,1936.2823177067417,1936.2823177067417,NA
ET2a,2022-07-30T15:30:00Z,1934.9239044068213,1934.9239044068213,NA
ET2a,2022-07-30T15:45:00Z,1932.7504431269483,1932.7504431269483,NA
ET2a,2022-07-30T16:00:00Z,1931.935395146996,1931.935395146996,NA
ET2a,2022-07-30T16:15:00Z,1931.1203471670435,1931.1203471670435,NA
ET2a,2022-07-30T16:30:00Z,1929.218568547155,1929.218568547155,NA
ET2a,2022-07-30T16:45:00Z,1928.9468858871708,1928.9468858871708,NA
ET2a,2022-07-30T17:00:00Z,1926.2300592873296,1926.2300592873296,NA
ET2a,2022-07-30T17:15:00Z,1925.6866939673616,1925.6866939673616,NA
ET2a,2022-07-30T17:30:00Z,1925.1433286473932,1925.1433286473932,NA
ET2a,2022-07-30T17:45:00Z,1924.599963327425,1924.599963327425,NA
ET2a,2022-07-30T18:00:00Z,1923.7849153474729,1923.7849153474729,NA
ET2a,2022-07-30T18:15:00Z,1922.4265020475525,1922.4265020475525,NA
ET2a,2022-07-30T18:30:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-30T18:45:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-30T19:00:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-30T19:15:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-30T19:30:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-30T19:45:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-30T20:00:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-30T20:15:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-30T20:30:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-30T20:45:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-30T21:00:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-30T21:15:00Z,1921.6114540676,1921.6114540676,NA
ET2a,2022-07-30T21:30:00Z,1921.6114540676,1921.6114540676,NA
ET2a,2022-07-30T21:45:00Z,1921.6114540676,1921.6114540676,NA
ET2a,2022-07-30T22:00:00Z,1921.6114540676,1921.6114540676,NA
ET2a,2022-07-30T22:15:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-30T22:30:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-30T22:45:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-30T23:00:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-30T23:15:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-30T23:30:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-30T23:45:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-31T00:00:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-31T00:15:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-31T00:30:00Z,1921.883136727584,1921.883136727584,NA
ET2a,2022-07-31T00:45:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-31T01:00:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-31T01:15:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-31T01:30:00Z,1922.154819387568,1922.154819387568,NA
ET2a,2022-07-31T01:45:00Z,1922.154819387568,1922.154819387568,NA
