DendroID,date_time,Radius,newRadius,jumpStart
FB5b,2023-03-07T16:45:00Z,2769.804718537987,2769.804718537987,NA
FB5b,2023-03-07T17:00:00Z,2769.804718537987,2769.804718537987,NA
FB5b,2023-03-07T17:15:00Z,2769.533035878003,2769.533035878003,NA
FB5b,2023-03-07T17:30:00Z,2769.2613532180185,2769.2613532180185,NA
FB5b,2023-03-07T17:45:00Z,2769.2613532180185,2769.2613532180185,NA
FB5b,2023-03-07T18:00:00Z,2769.533035878003,2769.533035878003,NA
FB5b,2023-03-07T18:15:00Z,2769.2613532180185,2769.2613532180185,NA
FB5b,2023-03-07T18:30:00Z,2768.9896705580345,2768.9896705580345,NA
FB5b,2023-03-07T18:45:00Z,2768.9896705580345,2768.9896705580345,NA
FB5b,2023-03-07T19:00:00Z,2768.9896705580345,2768.9896705580345,NA
FB5b,2023-03-07T19:15:00Z,2769.2613532180185,2769.2613532180185,NA
FB5b,2023-03-07T19:30:00Z,2768.7179878980505,2768.7179878980505,NA
FB5b,2023-03-07T19:45:00Z,2768.446305238066,2768.446305238066,NA
FB5b,2023-03-07T20:00:00Z,2768.7179878980505,2768.7179878980505,NA
FB5b,2023-03-07T20:15:00Z,2767.902939918098,2767.902939918098,NA
FB5b,2023-03-07T20:30:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-07T20:45:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-07T21:00:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-07T21:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-07T21:30:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-07T21:45:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-07T22:00:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-07T22:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-07T22:30:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-07T22:45:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-07T23:00:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-07T23:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-07T23:30:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-07T23:45:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T00:00:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T00:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T00:30:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T00:45:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T01:00:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T01:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T01:30:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T01:45:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T02:00:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T02:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T02:30:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T02:45:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T03:00:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T03:15:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T03:30:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T03:45:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T04:00:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T04:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T04:30:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T04:45:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T05:00:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T05:15:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T05:30:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T05:45:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T06:00:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T06:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T06:30:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T06:45:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T07:00:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T07:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T07:30:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T07:45:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T08:00:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T08:15:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T08:30:00Z,2767.631257258114,2767.631257258114,NA
FB5b,2023-03-08T08:45:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T09:00:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T09:15:00Z,2767.3595745981297,2767.3595745981297,NA
FB5b,2023-03-08T09:30:00Z,2767.631257258114,2767.631257258114,NA
